CELLTYPE	MARKER
radialglia	SOX2
radialglia	GLI3
radialglia	VIM
cycling MIKI67
cycling CDC20
cycling	TOP2A
ExN	TUBB3
ExN	SNAP25
ExN	ELAVL2
ExN	SLC17A6
ExN	DCX
InN	DLX6-AS1
InN	DLX1
InN	DLX2
MidBrain	WNT1
MidBrain	LMX1A
MidBrain	LMX1B
MidBrain	FOXA1
MidBrain	FOXA2
MidBrain	MSX1
MidBrain	MSX2
MidBrain	NGN2
MidBrain	SHH
CBCs/BRG	TTR
CBCs/BRG	RSPO2
CBCs/BRG	LMX1A
CBCs/BRG	OTX2
CBCs/BRG	MSX1
CBCs/BRG	PCP4
CBCs/BRG	NPHP1
CBCs/BRG	WLS
ERstress	GORASP2
ERstress	GOLGA4
ERstress	SRP54
ERstress	SEC31A
Retina	RORB
Retina	VSX2
mesenchymal	DCN
mesenchymal	BGN
mesenchymal	BNC2
mesenchymal	POSTN
mesenchymal	LUM
mesenchymal	COL3A1
mesenchymal	COL1A2
mesenchymal	ADAM12
CR	RELN
IPC	EOMES
