CELLTYPE	MARKER
radialglia	SOX2
radialglia	ARHGAP11A
radialglia	GLI3
radialglia	EMX2
radialglia	Pax6
radialglia	VIM
radialglia	HES
radialglia	HOPX
radialglia	MKI67
radialglia	CDC20
radialglia	TOP2A
ExN	TUBB3
ExN	SNAP25
ExN	ELAVL2
ExN	KCNQ3
ExN	NEUROD6
ExN	SLC17A6
ExN	TBR1
ExN	RELN
ExN	SORBS2
ExN	SATB2
ExN	BCL111B
ExN	LHX1
ExN	DCX
InN	DLX6-AS1
InN	DLX1
InN	DLX2
InN	GAD2
InN	GAD1
Microglia	AIF1
Microglia	SALL1
Microglia	C1QB
Microglia	CD68
Oligodendrocytes	OLIG1
Oligodendrocytes	OLIG2
Oligodendrocytes	PDGFRA
Astrocytes	AQP4
Astrocytes	S100B
Astrocytes	GFAP
Astrocytes	FAM107A
Astrocytes	ATP1A2
Astrocytes	ATP13A4
Astrocytes	SLC4A4
CBCs/BRG	TTR
CBCs/BRG	RSPO2
CBCs/BRG	LMX1A
CBCs/BRG	OTX2
CBCs/BRG	BMP4
CBCs/BRG	MSX1
CBCs/BRG	PCP4
CBCs/BRG	NPHP1
ERstress	GORASP2
ERstress	GOLGA4
ERstress	SRP54
ERstress	SEC31A
ERstress	ARCN1
ERstress	PGK1
Retina	RORB
Retina	VSX2
mesenchymal	WLS
mesenchymal	TPBG
mesenchymal	DCN
mesenchymal	BGN
mesenchymal	POSTN
mesenchymal	COL1A
mesenchymal	BNC2
mesenchymal	LUM
mesenchymal	COL3A1
mesenchymal	COL1A2
mesenchymal	ADAM12
mesenchymal	MEF2C
